Number of components, DR %, Davies Bouldin Index, Adjusted Rand Index, Completeness, V-measure, Homogeneity
141, 0.0, 6.8547, 0.3375, 0.3474, 0.3463, 0.3453 
136, 3.5461, 6.9436, 0.3702, 0.3618, 0.3609, 0.3599 
131, 7.0922, 6.7552, 0.3481, 0.3991, 0.3958, 0.3926 
126, 10.6383, 6.7293, 0.271, 0.3346, 0.3291, 0.3238 
121, 14.1844, 6.274, 0.16, 0.3294, 0.3024, 0.2795 
116, 17.7305, 6.6081, 0.1788, 0.2342, 0.2293, 0.2246 
111, 21.2766, 2.9543, 0.0092, 0.1503, 0.075, 0.0499 
106, 24.8227, 4.4278, 0.0092, 0.1306, 0.0955, 0.0753 
101, 28.3688, 4.4321, 0.0454, 0.1857, 0.1283, 0.098 
96, 31.9149, 4.0183, 0.0135, 0.194, 0.1378, 0.1068 
91, 35.461, 5.4588, 0.071, 0.1932, 0.1733, 0.1571 
86, 39.0071, 4.9728, 0.0899, 0.131, 0.1088, 0.0931
