num_comps,dr%,DBI,ARI,completeness,v_measure,homogeneity
141, 0.0, 6.6458, 0.2531, 0.2634, 0.2614, 0.2593
136, 3.5461, 6.5646, 0.2635, 0.2814, 0.2788, 0.2762
131, 7.0922, 5.7231, 0.2027, 0.3042, 0.267, 0.2379
126, 10.6383, 4.813, 0.0606, 0.1817, 0.1419, 0.1164
121, 14.1844, 3.4713, 0.0113, 0.1272, 0.0755, 0.0536
116, 17.7305, 5.635, 0.1109, 0.2016, 0.1753, 0.1551
111, 21.2766, 5.2384, 0.1575, 0.2809, 0.2387, 0.2075
106, 24.8227, 5.1716, 0.1761, 0.2732, 0.2419, 0.217
101, 28.3688, 5.48, 0.128, 0.1525, 0.1327, 0.1174
96, 31.9149, 4.6855, 0.1921, 0.2949, 0.2524, 0.2206
91, 35.461, 4.9474, 0.1581, 0.256, 0.2296, 0.2081
86, 39.0071, 4.7355, 0.181, 0.272, 0.2419, 0.2178
