num_comps,dr%,DBI,ARI,completeness,v_measure,homogeneity
141, 0.0, 6.8477, 0.2791, 0.3458, 0.341, 0.3363
136, 3.5461, 6.7346, 0.215, 0.3154, 0.3049, 0.295
131, 7.0922, 6.4683, 0.2134, 0.2353, 0.2189, 0.2045
126, 10.6383, 6.262, 0.1381, 0.2657, 0.2424, 0.2228
121, 14.1844, 6.3461, 0.1472, 0.2392, 0.2187, 0.2015
116, 17.7305, 6.5399, 0.1505, 0.1876, 0.1822, 0.177
111, 21.2766, 5.4791, 0.0985, 0.2077, 0.1671, 0.1397
106, 24.8227, 3.5041, 0.014, 0.1431, 0.0861, 0.0616
101, 28.3688, 3.3784, 0.0166, 0.2526, 0.1365, 0.0935
96, 31.9149, 6.1204, 0.1111, 0.1369, 0.1264, 0.1173
91, 35.461, 4.5081, 0.0791, 0.2167, 0.1733, 0.1444
86, 39.0071, 5.878, 0.2355, 0.2515, 0.2493, 0.2472
