num_words 2052

అంచనా :-0.002571963268411474
అంచనాలు :0.006213799986757471
అంటూ :-0.047650089811385715
అంటే :-0.018458837766997648
అండగా :-0.008055000929502237
అంత :-5.675594787008218e-05
అంతకన్నా :-0.0018590348054226063
అంతకు :-0.009273820847847815
అంతకుముందు :-0.006670565672161832
అంతటి :0.009892851757587166
అంతర్గత :0.020152654112635605
అంతర్జాతీయ :-0.00592408234474038
అంతా :-0.0644235963650075
అంతిమంగా :0.001556617346210962
అంతే :0.032904085997186194
అందని :-0.0039634853319210385
అందరికీ :-0.003522180947017709
అందరూ :-0.04702962775678503
అందించాలన్న :-0.003623053501094586
అందించిన :-0.01658684852543334
అందించే :0.0035138445374092555
అందుకు :-0.005652166960986414
అందుకే :-0.014212079857537193
అందులో :-0.015233941878894978
అంశం :0.00178322200265735
అంశంపై :-0.0038045088288066785
అంశాన్ని :0.006360338914614526
అంశాల :-0.0010043245045239827
అకాల :0.0013973747856187882
అక్కడ :-0.007041972340982343
అక్కడి :-0.060423040721176664
అక్కడే :0.06272516281317124
అక్టోబర్లో :-7.28516210292315e-05
అక్రమ :-0.008484718253027834
అక్రమాలు :0.0035875248224411876
అక్షరసత్యం :-0.007590345524610184
అక్షరాలా :0.009531983606917671
అగ్రరాజ్యం :-0.006779787284674548
అజెండా :0.002644975352186006
అటు :0.02336924472094005
అడుగడుగునా :0.0027456321212387027
అడ్డగోలు :-0.01771109344702969
అతడు :-0.028284485629520652
అతని :0.009094535890704952
అతనికి :0.006084137719431287
అతను :0.008080751290757734
అతి :-0.020466596653716754
అతిపెద్ద :-0.0030226537683142357
అత్యంత :0.011374065807511177
అత్యధిక :0.02369371603942458
అత్యుత్తమ :0.0022031139764246217
అదనంగా :0.003463355790742968
అదనపు :0.004074965326414969
అది :0.0025080470966364512
అదీ :-0.00865668810722239
అదుపులోకి :0.003006352592815963
అదే :0.00459232717685293
అద్బు :-0.0005383263899145917
అధమపక్షం :-0.0034437847201413546
అధిక :-0.008259147709034877
అధికార :-0.0008171598396243174
అధికారం :-0.013985878556701569
అధికారంలో :0.004843049093124587
అధికారానికి :-0.0005636054348341893
అధికారాన్ని :-0.012107561820212578
అధికారిక :-0.008783166696589644
అధికారికంగా :-0.0028850324481314964
అధికారులు :-0.009938262099349648
