num_words 18872

and :-0.00145495098014019
any :-0.0014549509801401487
ap :-0.0014549509801404772
be :-0.0014549509801403035
by :-0.0014549509801403619
cinema :-0.0014549509801403079
com :-0.001454950980140365
dinamani :-0.0014549509801403415
express :-0.004364852940421052
in :-0.00145495098014034
indiavarta :-0.00145495098014036
info@andhraprabha :-0.001454950980140335
is :-0.001454950980140354
kannada :-0.001454950980140371
ltd :-0.001454950980140324
mail :-0.0014549509801403853
malayalam :-0.0014549509801402138
managed :-0.0014549509801402962
media :-0.0014549509801403495
network :-0.001454950980140321
newindpress :-0.0014549509801403304
no :-0.0014549509801403697
of :-0.0014549509801403992
other :-0.0014549509801403352
owned :-0.001454950980140433
part :-0.0014549509801401628
permission :-0.001454950980140407
policy :-0.0014549509801403781
prabha :-0.001454950980140367
prior :-0.0014549509801403612
privacy :-0.0014549509801403543
private :-0.0014549509801402836
should :-0.0014549509801400884
site :-0.0029099019602803373
tamilan :-0.0014549509801409235
this :-0.002909901960280341
used :-0.0014549509801403016
varikha :-0.0014549509801401559
weekly :-0.0014549509801401372
without :-0.0014549509801403012
ంగా :-0.009003234891789261
అంకమే :-0.0005783272737668227
అంకాన్నే :0.003842868671785154
అంకితం :0.00817580131318778
అంకుశమైందన్నది :-0.0027132083982966027
అంకెల :0.013395602502827219
అంకెలేనని :0.011195648805073233
అంగ :-0.0004740394360966626
అంగడిలోకి :0.013704426155678805
అంగళ్ల :0.002232649450858586
అంగీకరించారు :-0.006766492820145427
అంగీకరించినట్లు :-0.000638010325057709
అంగీకరిస్తూ :-0.002713208398295712
అంగీకారం :-0.00392150114364454
అంగీకారమొకటి :-0.0009177378517856823
అంచనా :0.006200959148231632
అంచనాయే :-0.0009177378517856057
అంచనాల :-0.03699815332648933
అంచనాలు :0.008998078024958209
అంచనాలూ :0.005996225857179746
అంచనాల్నిబట్టి :-0.001583543551610421
అంచె :-0.0027196575277990092
అంచెను :0.0019158848193367593
అంచెలవారీ :0.0022048557760813046
అంచెల్లో :-0.0006380103250582164
అంజలి :0.0035310275306559623
అంజలించి :-0.0015458706156143912
అంజూ :0.02386742495058819
అంజూకు :0.017900568712940663
అంజూబాబీజార్జ్‌ :0.005966856237646867
అంటగట్టేందుకొచ్చే :-0.01024546021085223
అంటాడేంటి :-0.010345952296656925
అంటారు :-0.01705323342379562
అంటించింది :-0.0029652898030902448
అంటిపెట్టుకునే :0.0019471441266120098
అంటు :-0.0009177378517857975
అంటుకడుతోంది :0.0015626999727751186
అంటుకుంటుంది :-0.006157715782250531
అంటున్న :-0.003430996182035022
అంటున్నారు :-0.0005395001684386858
అంటూ :0.008637969236475444
అంటూనే :0.007172312117360813
అంటే :0.016592118908254447
అండ :0.0069218870955724925
అండగా :0.004431614011786856
అండదండలతో :0.0035310275306557506
అండదండలు :-0.003430996182034474
అండ్‌ :-0.0001413993702630718
అంత :0.0017580830421617404
అంతంతో :-0.0005783272737670185
అంతఃకరణ :-0.0061577157822512
అంతకంటే :-0.0006761938066391242
అంతకన్నా :0.008867553474176936
అంతకు :-0.005483896194535311
అంతకుమించి :-0.000573578666892931
అంతకుమించిన :-0.00047403943609820745
అంతకుముందు :-0.0005852337656522195
అంతకుముందే :-0.012343976737670834
అంతక్రితం :0.007421584513577417
అంతగా :0.0025995984787224227
అంతటా :-0.005254122504394136
అంతటి :0.0010021181356427414
అంతమయ్యేదాకా :-0.0005783272737677765
అంతమాత్రాన :-0.0054602718014941124
అంతరం :-0.0010263714780058455
అంతరాత్మను :-0.0015458706156149453
అంతరార్థం :-0.006112152499786773
అంతరార్థమదే :0.0004926916189686826
అంతరాలు :0.0044788764910821035
అంతరాల్ని :0.008175801313188246
అంతరించదు :0.00019274271111489408
అంతరించింది :0.007421584513577143
అంతరిక్ష :0.00011049457084873299
అంతరిక్షందాకా :5.524728542438459e-05
అంతర్గత :-0.0064952352881434885
అంతర్గతంగా :-0.002965289803090681
అంతర్గతంగానూ :0.004478876491082014
అంతర్జాతీయ :0.014035488472376002
అంతర్జాతీయంగా :-0.0011663789590106069
అంతర్జాతీయస్థాయి :0.005966856237646915
అంతర్జాతీయస్ధాయి :0.005696515578516177
అంతర్జాలం :-0.004839797296470039
అంతర్రాష్ట్ర :0.0007011092961430118
అంతర్లీనంగా :0.008221586998999648
అంతర్వేది :0.004895961574575847
అంతర్‌వేదినై :0.013704426155678457
అంతస్తుల :-0.01053817654183918
అంతా :-0.002602460677996294
అంతిమ :0.005035773179255768
అంతిమంగా :-0.006469575945715153
అంతుపట్టని :0.014344624234721453
అంతుబట్టని :-0.014252516781124701
అంతులేని :0.007886731136543508
అంతే :0.005496914425837766
అంతేకాకుండా :0.006096513030717531
అంతేగాని :-0.0027132083982963503
అందం :0.022297821979331833
అందకుండా :-0.001674941690740489
అందగించిన/ :5.524728542444866e-05
అందచందాలతో :0.0037700459792830462
అందచందాలే :-0.0007657899132465465
అందజేత :0.0022326494508582454
అందజేసి :0.0022048557760809915
అందజేసిందని :0.00036992138661680476
అందజేసిన :0.0011092570537684285
అందదన్నది :0.013704426155678415
అందని :0.008112721384026734
అందమునన్‌ :-0.008059315698143764
అందమైన :0.004644772402448948
అందరమూ :-0.001545870615614736
అందరి :-0.0005395001684388049
అందరికీ :0.013449226712247374
అందరిచూపూ :-0.0014466081829489583
అందరిలోకి :0.002801486959263459
అందరిలోనున్న :-0.001545870615614736
అందరు :0.011061692978447248
అందరూ :0.003781132106525151
అందరొక్కటై :-0.0005735786668916049
అందర్నీ :0.0009939025873335026
అందలం :-0.0005783272737672918
అందలమెక్కించిన :0.0038428686717839914
అందానికి :-0.00829011910967346
అందాల :5.524728542435141e-05
అందాలకే :0.004552739981091817
అందించడం :-0.0037013764146368237
అందించడంతో :0.002989624983676572
అందించడమే :0.0026890989505151913
అందించానన్నాడు :-0.0035425556803461784
అందించాను :-0.001545870615614736
అందించారన్నాడు :-0.0035425556803461784
అందించాలన్న :-0.013634027865127655
అందించిందని :0.002790549173945266
అందించిన :0.0008753117048702643
అందించినవారికి :-0.001545870615614736
అందించినా :0.007421584513577204
అందించే :-0.0016040168197167372
అందించేందుకు :-0.0035425556803461784
అందినదానికి :-0.001545870615614736
అందిపుచ్చుకొని :-0.008485059018635862
అందిపుచ్చుకొన్న :0.0006200139852968595
అందిపుచ్చుకోగల :-0.005337772987858036
అందిపుచ్చుకోవడానికి :0.005996225857179846
అందిపుచ్చుకోవాలని :-0.00047403943609795575
అందిస్తామంటోంది :-0.00343099618203498
అందిస్తామన్న :0.0003197989225172945
అందిస్తోంది :-0.001583543551610138
అందుకు :0.006066927638948603
అందుకుంది :-0.002992562710312115
అందుకుని :-0.0064351175753056085
అందుకే :0.004416456857847457
అందుకేనేమో :0.011195648805073937
అందుకోగలిగింది :0.0082215869989996
అందుకోలేని :-0.00343099618203498
అందుకోవాలి :0.006921887095573132
అందుకోసం :0.004374324526107764
అందుబాటును :0.0022326494508582454
అందుబాటులు :0.00492068977442347
అందుబాటులో :7.466008721627635e-05
అందుబాటులోకి :0.005319612367094687
అందుబాట్లోకి :0.0002523079369090192
అందులో :0.010233656475763082
అందులోనూ :-0.0029509900521644907
అందువల్ల :-0.003331117951020316
అంధమతులు :0.0082215869989996
అంపశయ్య :-0.012298649988442203
అంపైరింగ్‌ :-0.017913976533906775
అంపైర్ల :-0.005971325511302257
అంపైర్‌ :-0.005971325511302257
అంపైర్‌గా :-0.011942651022604514
అంబర్‌ :-0.00022233045039679104
అంబానీయే :-0.00483979729646999
అంబాసడర్‌ :-0.005023186250789271
అంబాసడర్‌గా :-0.010046372501578542
అంబాసడర్‌లుగా :-0.005023186250789271
అంబాసిడర్‌గా :0.006921887095573132
అంబాసిడర్‌లుగా :-0.005023186250789271
అంశం :-0.0003938230369864391
అంశంపై :-0.009186883598043809
అంశంమీద :0.004374324526107764
అంశాన్ని :0.005951405133511899
అంశాల :-0.007644538229417947
అంశాలకు :-0.0005395001684388049
అంశాలతో :-0.0005783272737672918
అంశాలపైనా :-0.002965289803090643
అంశాలూ :-0.0005395001684388049
అంశాల్ని :-0.0038033880101819638
అంశాల్లోనే :0.0044788764910818875
అకాడమిలో :-0.0035425556803461784
అకాడమీని :0.0060965130307175245
అకాల :-0.007824227178327096
అక్కడ :-0.026059588007905265
అక్కడా :0.0044788764910818875
అక్కడి :-0.0021082828989931676
అక్కడే :-0.0012214491832808188
అక్కరకు :-0.0037225166871447707
అక్కున :-0.001545870615614736
అక్కురసీ :-0.01705323342379432
అక్టోబరులో :-0.008485059018635862
అక్టోబరులోనే :0.000701109296142969
అక్టోబర్లో :-0.0019013324942819384
అక్టోబర్‌ :-0.003550702239183495
అక్రమ :0.028943439314502387
అక్రమంగా :0.007421584513577204
అక్రమార్కుల :0.0038428686717839914
అక్రమార్కులకు :0.004662022168247736
అక్రమార్జనల :0.0038428686717839914
అక్రమాల :0.0038428686717839914
అక్రమాలకు :-0.001316335985185948
అక్రమాలు :0.01057249211128559
అక్రమాల్ని :-0.008485059018635862
అక్షర :-0.013182686042401769
అక్షరం :0.0003197989225172945
అక్షరసత్యం :-0.010410299282407597
అక్షరాన్నని :0.010836859746787456
అక్షరాన్ని :0.005916667765437995
అక్షరాలన్నీ :0.010836859746787456
అక్షరాలా :0.013976736931575202
అక్షింతలు :5.524728542435141e-05
అగటాళ్ల :-0.0035425556803461784
అగణిత :-0.0006380103250578465
అగమ్యంగా :0.011195648805073937
అగాధమవుతుంటే :-0.0006380103250578465
అగాధాన్నే :0.008175801313188126
అగార్కర్‌ :0.0019265950298979013
అగుపించే :-0.008914804562414952
అగౌరవం :-0.001545870615614736
అగ్గి :-0.006898478045301281
అగ్గికొండలు :0.0001927427111149872
అగ్ని :-0.008114857016271957
అగ్నికి :-0.007376592511690344
అగ్నికీలలకు :-0.0026345441354598096
అగ్నిపర్వతంపై :0.005996225857179846
అగ్నిప్రమాదం :-0.0026345441354598096
అగ్నిప్రమాదాల్లో :-0.0026345441354598096
అగ్నిమాపక :-0.005269088270919619
అగ్నిమాపకశాఖ :-0.007903632406379413
అగ్ర :-0.00315906224098753
అగ్రజుని :-0.003331117951020316
అగ్రనేతలు :0.007172312117360715
అగ్రపీఠిని :-0.001583543551610138
అగ్రరాజ్య :0.005996225857179846
అగ్రరాజ్యం :-0.010197091956561483
అగ్రరాజ్యంతోపాటు :-0.0009177378517854826
అగ్రరాజ్యమే :-0.0009177378517854826
అగ్రరాజ్యాన్ని :-0.002650558002544341
అగ్రరాజ్యాల :0.000639597845034589
అగ్రవాదం :0.0082215869989996
అగ్రశ్రేణి :-0.002079356739668464
అగ్రస్థానంలో :-0.0026345441354598096
అగ్రస్థానానికి :0.0006200139852968595
అగ్రస్ధానంలో :-0.002992562710312115
అఘోరించాయి :0.0002523079369090192
అఘోరిస్తున్నందువల్లే :-0.0023583190550445408
అఘోరిస్తున్నప్పుడు :-0.0067664928201454505
అఘోరిస్తోందన్న :-0.005609916444031961
అచేతనత్వం :-0.00483979729646999
అచ్చన :0.005916667765437995
అజమాయిషీ :-0.0009177378517854826
అజమాయిషీని :-0.0005395001684388049
అజమాయిషీలో :0.007172312117360715
అజరామరంగా :0.004552739981091817
అజరామరవుతున్నట్టే :-0.012298649988442203
అజర్‌బైజాన్‌కు :-0.00022233045039679104
అజాద్‌ :-0.06244883047524735
అజాపజా :0.004895961574575796
అజిత్‌ :-0.0017320038546545398
అజెండా :-0.0200289519066511
అజెండాగా :0.003869960858987402
అజెండాను :-0.0031003288083014217
అజెండాయే :0.007172312117360715
అజెండాల :-0.00047403943609795575
అజెండాలతో :-0.006112152499786208
అజెండాలో :0.005996225857179846
అజేయ :-0.0014600328052292199
అజేయంగా :-0.0005821076401532477
అజ్ఞానంతో :-0.001545870615614736
అజ్ఞానాన్ని :0.005966856237646967
అటక :0.00027802000806842784
అటకెక్కాయి :-0.0025230009322618993
అటకెక్కించారు :-0.002965289803090643
అటకెక్కించి :-0.006112152499786208
అటకెక్కించిందని :-0.0016749416907408808
అటకెక్కించింది :0.002753017932375868
అటకెక్కింది :0.005996225857179846
అటకెక్కిన :0.004895961574575796
అటగాళ్లపై :0.008850031944027392
అటగాళ్లుగా :-0.0035425556803461784
అటవీ :0.015223846690229411
అటవీశాఖ :0.007685737343567983
అటు :0.004106696851075693
అటువంటప్పుడు :0.004895961574575796
అటువంటి :0.014012129246918465
అటువైపు :-0.005337772987858036
అటూ :0.00959461572309316
అటూఇటుగా :-0.006254179430947096
అట్టడుగుస్థాయిలో :0.008175801313188126
అట్టల్ని :0.0011092570537684285
అట్టుడికించింది :-0.002713208398296297
అట్టుడికితే :-0.008485059018635862
అట్టుడుకుతోంది :0.0044788764910818875
అట్లాస్‌ :0.022297821979331545
అట్లె :-0.008059315698143764
అడకత్తెరలో :0.0044788764910818875
అడక్కపోయినా :0.0011607681019308632
అడక్కుండా :-0.0014466081829489583
అడగకపోవడమే :-0.0026345441354598096
అడపాదడపా :-0.0004783963494051035
అడవిలో :-0.0019036275266663643
అడవుల :-0.0032933751868863053
అడిగి :-0.009532419324841215
అడిగిందే :0.013395602502826946
అడిగితే :-0.007110060748460436
అడిగిన :-0.0014591383119291364
అడిగినవందిస్తుంది :-0.001545870615614736
అడిగేవాడిని :0.0011092570537684285
అడిగేవారు :-0.0003442102600759257
అడిగేసరికి :-0.001454950980140354
అడిట్‌ :0.002989624983676572
అడియాసేనా :5.524728542435141e-05
అడిలైడ్‌లో :0.00984137954884694
అడివి :-0.0016749416907408808
అడుక్కు :-0.0005735786668916049
అడుగంటి :0.0004926916189680314
అడుగంటిపోతాయి :-0.002650558002544341
అడుగడుగునా :0.000887918382007208
అడుగు :-0.001545870615614736
అడుగుతున్నాను :0.0011607681019308632
అడుగునూ :-0.006157715782250605
అడుగుపెట్టిన :0.013704426155678415
అడుగుపెట్టెందుకు :0.008850031944027392
అడుగుల :-0.006157715782250605
అడుగులు :-0.005424456482781293
అడుగే :-0.0009177378517854826
అడ్డంగా :0.007921122099426262
అడ్డగోలు :0.002972054615107647
అడ్డగోలుగా :-0.001583543551610138
అడ్డదారి :0.013395602502826946
అడ్డదారులు :0.002753017932375868
అడ్డదారులూ :-0.0032900075000754773
అడ్డుకట్ట :0.0006046199127983182
అడ్డుకొన్న :-0.002713208398296297
అడ్డుకొన్నట్లు :-0.002713208398296297
అడ్డుకొన్నా :-0.002713208398296297
అడ్డుకోజాలరనడం :-0.002719657527799167
అడ్డుకోవడంకోసం :0.0035310275306556526
అడ్డుకోవడంలో :0.0004926916189680314
అడ్డుకోవడంలోనూ :0.0022326494508582454
అడ్డుగోడలను :0.0082215869989996
అడ్డుపెట్టుకొని :0.000701109296142969
అడ్డూఆపూ :-0.0009177378517854826
అడ్రస్సే :-0.00483979729646999
అణగ :-0.001545870615614736
అణగారిపోతున్నాయి :-0.001583543551610138
అణగిమణిగిన :0.0082215869989996
అణు :0.0021171100157720123
అణుదాడికి :0.0003197989225172945
అణుపరీక్ష :0.0003197989225172945
అణుపరీక్షల :0.0003197989225172945
అణుబంధం :0.0003197989225172945
అణుబలంతో :-0.001545870615614736
అణువంచన :0.0003197989225172945
అణ్వస్త్ర :0.0003197989225172945
అతగాడికి :0.000701109296142969
అతగాడు :5.524728542435141e-05
అతగాణ్ని :0.007421584513577204
అతగాణ్నే :0.0038428686717839914
అతడిలోని :0.0001927427111149872
అతడు :-0.020430080928052555
అతని :0.01926383855145655
అతనికి :-0.01181090550761007
అతనికికూడా :0.00492068977442347
అతనిని :-0.007791440199785403
అతను :-0.0021100837137288876
అతనెక్కడ :0.008175801313188126
అతనే :0.0011223270342699094
అతి :0.0036959678690072326
అతిగా :0.0022326494508582454
అతితెలివి :-0.002650558002544341
అతిథులుగా :-0.00047403943609795575
అతిపెద్ద :0.002925127097426819
అతీగతీ :0.004895961574575796
అతీతంగా :0.004513681060192095
అత్యంత :0.022215606535496847
అత్యద్భుత :-0.007806103809405919
అత్యద్భుతంగా :0.0019265950298979013
అత్యధిక :-0.013920143063531435
అత్యధికంగా :-0.0018814615986191348
అత్యధికులు :0.0038317094333679977
అత్యావశ్యకమన్నది :-0.0005395001684388049
అత్యాశల :0.0001927427111149872
అత్యుత్తమ :0.0013238589063378976
అత్యుత్తమం :0.009207342994066139
అత్యున్నత :-0.008485059018635862
అథారిటీ :-0.006254179430947096
అథెట్లయిన :0.005966856237646967
అథ్లెటిక్‌ :0.005966856237646967
అథ్లెట్‌ :0.017900568712940886
అదంతా :-0.005971325511302257
అదనం :0.005996225857179846
అదనంగా :0.006721695405199036
అదనపు :0.007779760524609669
అదనపుభారం :0.0022326494508582454
అదలావుంచితే :0.0011092570537684285
అది :0.011195319042783803
అదిమిపట్టినవాడిని :-0.010245460210850401
అదియున్‌ :-0.008059315698143764
అదీ :-0.0033625824720124923
అదుపు :-0.0004494863604048568
అదుపులో :0.002515366164012705
అదుపులోకి :0.0033889634589752233
అదుపులోకొస్తుందో :-0.008485059018635862
అదృష్టం :-0.002079356739668464
అదృష్టశాలి :5.524728542435141e-05
అదృష్టానికి :-0.012343976737671172
అదె :5.524728542435141e-05
అదెలా :0.000701109296142969
అదే :-0.0006285727089216485
అదేగతి :0.007172312117360715
అదేదో :-0.0016749416907408808
అదేపని :0.008175801313188126
అదేమని :-0.0026345441354598096
అదేమిటో :0.011195648805073937
అదేమీ :0.002753017932375868
అదేవిధంగా :-0.007085111360692357
అదో :5.524728542435141e-05
అద్దంపట్టిన :0.004120125024312494
అద్దంపట్టేవే :-0.002719657527799167
అద్దంపడుతుంది :-0.0005395001684388049
అద్దంపడుతోంది :-0.0006380103250578465
అద్దాలమేడలే :0.0038428686717839914
అద్దాల్లా :-0.0023583190550445408
అద్దుకుని :5.524728542435141e-05
అద్దె :-0.005707085454205766
అద్దెలకిచ్చి :0.007421584513577204
అద్బు :0.0020100164590659032
అద్భుత :-0.0030089475583123223
అద్భుతంగా :0.0010893171199084198
అద్భుతమైన :-0.001032909544247044
అద్భుతాలు :0.008175801313188126
అద్వానీ :0.0302815632371137
అద్వానీని :0.01434462423472143
అద్వానీనీ :0.007172312117360715
అద్వానీయే :0.01434462423472143
అద్వానీలు :0.01434462423472143
అద్వితీయ :-0.008059315698143764
అధమపక్షం :0.004165950818266833
అధరము :0.0010536015176607302
అధరమూరు :-0.00829011910967346
అధిక :0.0026657264446865764
అధికంగా :-0.007706704746179988
అధికంగానైనా :0.0022048557760809915
అధికపన్ను :0.004120125024312494
అధికమయ్యే :-0.005337772987858036
అధికరణ :-0.008059610134987684
అధికరణలో :0.004120125024312494
అధికశాతం :-0.0016749416907408808
అధికార :-0.013203885000182668
అధికారం :0.02065031499488863
అధికారంలో :0.005048320332368796
అధికారంలోకి :0.0030174063531708487
అధికారగణం :-0.006254179430947096
అధికారగణానికి :0.0008274135020533815
అధికారపక్ష :0.002753017932375868
అధికారపీఠాలకు :0.007421584513577204
అధికారమంతా :-0.0005395001684388049
అధికారము :-0.001545870615614736
అధికారశ్రేణులకు :-0.0026345441354598096
అధికారానికి :0.007241293659342033
అధికారాన్ని :0.001191688633781197
అధికారాల :-0.0005395001684388049
అధికారాలు :0.00717617669782745
అధికారి :0.00717617669782745
అధికారిక :0.005417695319673755
అధికారికంగా :-0.003602968534661634
అధికారుల :-0.0026345441354598096
అధికారులకు :0.007421584513577204
అధికారులతో :0.005760963229116881
అధికారులను :-0.001454950980140354
అధికారులు :0.010739705777906465
అధికారులే :-0.005609916444031961
అధికుడు :-0.001545870615614736
అధిగమించడానికి :0.005996225857179846
అధిగమించలేకపోయారు :0.005966856237646967
అధిగమించాలో :0.0022048557760809915
అధిగమించాల్సి :-0.0023583190550445408
అధిగమించి :0.00102697679144197
అధిగమించింది :-0.002992562710312115
అధిగమించిన :-0.0006380103250578465
అధినేతలకు :-0.0009177378517854826
అధినేత్రే :-0.002965289803090643
అధిపతి :-0.00483979729646999
అధిరోహించిన :-0.001583543551610138
అధిష్ఠానం :0.001396971844524371
అధిష్ఠానాధిదేవత :-0.002965289803090643
అధోముఖ :-0.002965289803090643
అధ్యక్ష :0.011932481607617118
అధ్యక్షత :-0.002965289803090643
అధ్యక్షతన :-0.005930579606181286
అధ్యక్షుడిగా :0.01434462423472143
అధ్యక్షుడు :-0.008219533831124736
అధ్యక్షుడుగా :0.00528043177651403
అధ్యక్షుడైన :0.0060965130307175245
అధ్యక్షురాలు :0.00011332223627060307
అధ్యక్షులు :0.0030749328286773818
అధ్యయన :-0.010011642327660565
అధ్యయనం :0.007398134547211554
అధ్యయనాలు :-0.0010992365282106974
అధ్వానంగా :-0.006112152499786208
అధ్వానమని :0.002753017932375868
అధ్వానస్థితిలో :0.003491903800126567
అధ్షక్షుడు :0.0031247433097097922
అనంత :-0.006112152499786208
అనంతంగా :-0.006254179430947096
అనంతకుమార్‌లపై :0.007172312117360715
అనంతపురం :-0.0008824373507031096
అనంతమన్న :-0.00047403943609795575
అనంతర :-0.005971325511302257
అనంతరం :-0.004001003496091799
అనంతరకాలంలో :0.004240881620696641
అనంతాల :0.013704426155678415
అనందాల :0.0019471441266120004
అనగా :0.008175801313188126
అనగానే :-0.001545870615614736
అనధికార :0.0082215869989996
అనధికారిక :0.0019158848193368207
అనర్గళంగా :-0.002965289803090643
అనర్థాన్ని :-0.0019036275266663643
అనర్థాల :-0.002650558002544341
అనర్థాలకు :0.004895961574575796
అనాథ :0.008175801313188126
అనాబెల్‌ :-0.0010788256504438553
అనారోగ్య :0.0003565460622268958
అనాలోచితంగా :0.0004926916189680314
అని :-0.025646268574302668
అనికవి :5.524728542435141e-05
అనిత్యమైన :-0.001545870615614736
అనిపించింది :-0.001454950980140354
అనిపించుకునేంతగా :-0.006157715782250605
అనిపించుకున్న :5.524728542435141e-05
అనిపించుకోవాలంటే :0.002753017932375868
అనిపిస్తుందని :-0.0003442102600759257
అనిపిస్తుంది :0.011195648805073937
అనిల్‌ :0.0031672432181656268
అనివార్య :0.0024125869653755694
అనివార్యం :0.0012925679627885094
అనివార్యజాప్యం :-0.001583543551610138
అనివార్యమన్న :-0.0005735786668916049
అనివార్యమవుతున్నాయని :0.0006200139852968595
అనిశ్చితికి :-0.00343099618203498
అనీ :-0.0026345441354598096
అను :0.011061692978447248
అనుకుంటాం :-0.006101574613006985
అనుకుంటున్నట్లు :0.002848257789258081
అనుకునే :0.005916667765437995
అనుకూల :-0.0025230009322618993
అనుకూలంగా :0.0035541381117533766
అనుకూలమన్న :-0.00047403943609795575
అనుకూలమైన :0.011061692978447248
అనుకొనేది :-0.001545870615614736
అనుకోకుండా :-0.0032618842487184686
అనుకోవడం :-0.004503047368368626
అనుకోవద్దు :-0.005971325511302257
అనుగుణంగా :0.008537868310524815
అనుగ్రహించడం :-0.0067664928201454505
అనుచిత :-0.0074366428159612
అనుదినం :-0.0023583190550445408
అనునయించే :-0.002713208398296297
అనునిత్యము :-0.001545870615614736
అనుబంధ :-0.0032327591100221246
అనుబంధం :-0.00047403943609795575
అనుభవ :-0.00047403943609795575
అనుభవం :-0.0050644549407610154
అనుభవంతో :0.00036992138661680476
అనుభవమని :0.013395602502826946
అనుభవమవుతోంది :-0.006254179430947096
అనుభవాల :0.004120125024312494
అనుభవాలనుంచి :0.0022048557760809915
అనుభవాలు :-0.012988184829271394
అనుభవించా :-0.005971325511302257
అనుభవించానని :-0.005971325511302257
అనుభూతి :0.0011607681019308632
అనుభూతిని :-0.020625006193387686
అనుభూతినీ :-0.0032618842487184686
అనుభూతులు :-0.011352740377577582
అనుభూతుల్నీ :-0.010245460210850401
అనుమతి :-0.005530103358801224
అనుమతించబోమన్న :-0.0025230009322618993
అనుమతించరాదన్న :-0.0025230009322618993
అనుమతించారు :-0.0009177378517854826
అనుమతించాలో :0.004895961574575796
అనుమతించాల్సిందిగా :-0.002719657527799167
అనుమతించిన :0.0038428686717839914
అనుమతించే :-0.002719657527799167
అనుమతిని :-0.002719657527799167
అనుమతుల :0.0020086299004824395
అనుమతులిస్తారని :0.004895961574575796
అనుమతులు :-0.0003443790126910235
అనుమతుల్ని :-0.002719657527799167
అనుమతుల్లేని :-0.0026345441354598096
అనుమానం :0.004701599371014641
అనుమానమే :-0.0006800166614791783
అనుమానాలూ :-0.0025230009322618993
అనుమానాల్లేవు :-0.006254179430947096
అనురాగం :0.01039681744915892
అనురాగమె :-0.0007657899132465465
అనురాధ :-0.0064351175753056085
అనువుగా :-0.0023583190550445408
అనువైన :0.004724917285217022
అనుసంధానం :0.008175801313188126
అనుసంధానించడానికి :-0.00047403943609795575
అనుసరణీయ :0.0022048557760809915
అనుసరించకుండా :0.004120125024312494
అనుసరించవలసిన :-0.003803181153111566
అనుసరించి :-0.006112152499786208
అనుసరిస్తున్న :0.011061692978447248
అనుసారం :-0.002965289803090643
అనే :-0.006574123094165427
అనేక :0.0006863039506893803
అనేకం :0.004120125024312494
అనేకానేక :-0.0026745556748389693
అనేది :-0.002084910892993685
అనేవిషయంలో :0.005966856237646967
అన్న :0.025213648324377617
అన్నట్లు :-0.000637840297716884
అన్నట్లుగా :-0.006643534827873993
అన్నదాత :0.0006200139852968595
అన్నదాతల :-0.014440151104315112
అన్నదాతలకు :-0.0016749416907408808
అన్నదాతల్ని :-0.00013412257289313427
అన్నదానికి :-0.006112152499786208
అన్నది :-0.0107297023214038
అన్నదీ :-0.006157715782250605
అన్నదే :0.000701109296142969
అన్నము :-0.008059315698143764
అన్నాడు :0.01890538162758831
అన్నాను :-0.010345952296656502
అన్నారని :-0.006157715782250605
అన్నారు :-0.03166267492920882
అన్నాలం :0.02271762552693868
అన్ని :0.026034016787444048
అన్నింటా :-0.0016309049262556697
అన్నింటికీ :0.006852587469483491
అన్నిందాలా :0.0022048557760809915
అన్నిచోట్లా :0.0057690009816121724
అన్నిటికీ :-0.001545870615614736
అన్నిటినీ :-0.001545870615614736
అన్నిపార్టీల :0.004374324526107764
అన్నిరకాల :0.002382872470712806
అన్నిరాష్ట్రాల :0.007421584513577204
అన్నివిధాలుగా :-0.0005735786668916049
అన్నిస్థాయుల్లో :0.007421584513577204
అన్నీ :0.001629960593816391
అన్నీఇన్నీ :5.524728542435141e-05
అన్నెం :0.02271762552693868
అన్యథాశరణం :-0.002713208398296297
అన్యాపదేశంగా :0.008175801313188126
అన్వయింపజేసే :0.0022048557760809915
అన్వయిస్తే :0.0004926916189680314
అన్వేషణ :0.022297821979331545
అన్వేషించాలి :-0.007598455744489516
అన్సారీ :0.003491903800126567
అపచారమంటూ :0.007421584513577204
అపజయాలు :-0.006157715782250605
అపనమ్మకం :-0.00889734825850675
అపరాత్రి :0.010009652128407693
అపరాహ్ణ :0.010836859746787456
అపరిమిత :0.00717617669782745
అపహాస్యం :-0.008485059018635862
అపహాస్యమే :0.011195648805073937
అపార :0.001101824084216008
అపారం :-0.004503047368368626
అపారఅనుభవం :-0.004503047368368626
అపారమనీ :-0.001545870615614736
అపార్ట్‌మెంట్లు :-0.0026345441354598096
అపుడు :0.011061692978447248
అపురూప :-0.0009177378517854826
అపురూపం :0.0082215869989996
అపురూపాల :0.013704426155678415
అప్పగించాలి :-0.006254179430947096
అప్పగించి :-0.001545870615614736
అప్పగించిన :0.000701109296142969
అప్పగించేసింది :0.000701109296142969
అప్పటి :-0.015027380357789671
అప్పటికి :-0.005337772987858036
అప్పటిదాకా :-0.006254179430947096
అప్పటినుంచి :0.0044788764910818875
అప్పటివరకు :0.022297821979331545
అప్పట్లో :-0.015430744880992815
అప్పనంగా :0.000701109296142969
